Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
5-((2-carboxylatepyrrolidin-1-yl)carbonyl)isophthalate)-aqua-bis(pyridin,,,,,
"Benzene-1,4-dicarboxylate-2,5-dicarboxylic",,,,,
"Benzene-1,4-dicarboxylate-2,5-dicarboxylic",,,,,
"cyclobutane-1,1-dicarboxylate","4,4'-ethane-1,2-diyldipyridine",,,,
"Isonicoate-N,O",hydroxo,,,,
"Naphthalene-2,6-dicarboxylate",,,,,
"4,4',4''-(benzene-1,3,5-triyltriethyne-2,1-diyl)tribenzoate",,,,,
"1,1'-(butane-1,4-diyl)bis(3-methyl-1,3-dihydro-2H-imidazole-2-thione)",,,,,
azido,hydroxo,isonicoate,,,
"2,6-di(1H-imidazol-1-yl)pyridine","hydrogen3,3',3''-(2,4,6-trioxo-1,3,5-triazinane-1,3,5-triyl)tripropanoate",,,,
azido,"3,5-diamino-1,2,4-triazolate",,,,
azido,"1,1'-(butane-1,4-diyl)bis(1H-tetrazole)",,,,
Tartrate,,,,,
Tartrate,,,,,
"3,8-bis(1H-imidazol-1-yl)-1,10-phenanthroline-N,N',N'',N''","D-camphorate-O,O',O'',O'''",,,,
"D-Camphorate-O,O',O''","3,8-bis(1H-imidazol-1-yl)-1,10-phenanthroline-N,N",,,,
"2,4-bis(carboxylatemethoxy)benzoate",,,,,
isophthalate,,,,,
isophthalate,,,,,
isophthalate,,,,,
bromo,"naphthalene-1,4-dicarboxylate",,,,
"3,5-Diaminobenzoate-N,N',O,O'","azido-N,N''",,,,
"4-carboxy[1,1'-biphenyl]-2,3',5',6-tetracarboxylate)-aqua-bis(2,2'-bipyridin",,,,,
"3,5-Diaminobenzoate-N,N',O,O'","azido-N,N",,,,
"Azido-N,N,N''","4-aminobenzoate-N,O,O'",,,,
aqua,"biphenyl-2,3',4,5',6-pentacarboxylate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,
"4-carboxy[1,1'-biphenyl]-2,3',5',6-tetracarboxylate","1,1'-(1,4-phenylenebis",,,,
"1,4-Butylene-diphosphonate",aqua,,,,
Acetylenedicarboxylate,oxalate,,,,
"et4-Benzoquinone-O,O'",,,,,
"et4-Benzoquinone-O,O')-hexacarbonyl-(i",,,,,
"propane-1,2,3-tricarboxylate)-tetraoxo-tetra-aqua-(i",,,,,
"propane-1,2,3-tricarboxylate)-(1,4,8,11-tetraazacyclotetradecane)-tetraoxo-(",,,,,
"propane-1,2,3-tricarboxylate)-(5,5,7,12,12,14-hexamethyl-1,4,8,11-tetraazacyclotetradecane)-tetraoxo-(",,,,,
"2,4-Dinitrophenoxo",,,,,
pyridine-3-carboxylate,oxo,iodo)-octa-n-butyl-tetra-(,,,
"2,2',5,5'-tetrafluoro-3,3',6,6'-tetrakis",,,,,
"(2RS,3RS)-Tartrate-O,O',O'',O''',O'''',O''''","oxalate-O,O',O'',O'''",,,,
"3,5-Diethyl-1,2,4-triazolate",,,,,
"3,5-Diethyl-1,2,4-triazolate",,,,,
"3,5-Diethyl-1,2,4-triazolate",,,,,
"1,1'-(butane-1,4-diyl)bis(1H-imidazole)",,,,,
"1,1'-(butane-1,4-diyl)bis(1H-imidazole)",,,,,
"1,2,4,5-tetrakis(4-Methylthiophenyl)ethynylbenzene",bromo,,,,
"1,3,6,8-tetrakis(4-Methylthiophenyl)pyrene",bromo,,,,
"4,4',4''-nitrilotribenzoate",,,,,
"4,3':5',4''-terpyridine",terephthalate,,,,
"4,3':5',4''-terpyridine",terephthalate,,,,
"cyclohexane-1,4-dicarboxylate","4,3':5',4''-terpyridine)-bis(nitrat",,,,
"3-Phosphonatebenzoate-O,O,O',O',O'',O'',O''',O''',O''''","3-phosphonatebenzoate-O,O,O',O'',O'',O''',O''',O''''",,,,
"6-Methyl-3-methoxybenzene-1,2,4,5-tetraolate",,,,,
"pyridine-2,5-dicarboxylate)-tetra-aqua-(i",,,,,
Iminodiacetate)-tri-(i,,,,,
2-(2-Carboxylatevinyl)benzoate,"piperazine-1,4-diylbis(pyridin-4-ylmethanone)",,,,
terephthalate,terephthalate,"4,4'-bipyridine",,,
"3,3'-(ethene-1,2-diyl)dipyridine","thiophene-2,5-dicarboxylate",,,,
"Naphthalene-1,4-dicarboxylate-O,O,O',O'',O'''","naphthalene-1,4-dicarboxylate-O,O',O'',O''')-aqua-(1,10-phenanthroline-5,6-dione-N,N",,,,
"1,3,5-tris(4-carboxylatephenyl)benzene","4,4'-(ethene-1,2-diyl)dipyridine",,,,
"1,3,5-tris(4-carboxylatephenyl)benzene","4,4'-(ethene-1,2-diyl)dipyridine","N,N-dimethylformamide",,,
"Butane-1,2,3,4-tetracarboxylate",,,,,
"1,3,5-tris(4-carboxylatephenyl)benzene","4,4'-(ethene-1,2-diyl)dipyridine)-(N,N-dimethylformamid",,,,
azido-(10-bromo)cobalamin,,,,,
"1H-1,2,4-triazole-3,5-diamine",5-methylisophthalate,,,,
5-Aminoisophthalate,,,,,
5-Aminoisophthalate,,,,,
5-aminoisophthalate,,,,,
"3,5-diamino-triazolate",but-2-enedioate,,,,
"piperazine-1,4-diylbis(pyridin-4-ylmethanone)",2-[2-carboxylateethenyl]benzoate,,,,
2-chlorobenzoate,"2,3,5-trimethylpyrazine",,,,
"Thiocyanate-S,S,S",2-aminopyrimidine-1:3,,,,
"4,4'-Diazenediyldibenzoate-O,O',O'',O'''",,,,,
dicyanamide,,,,,
"4,4'-(1,1,1,3,3,3-Hexafluoropropane-2,2-diyl)dibenzene-1,2-dicarboxylate",,,,,
"1-((4-Carboxylatephenyl)methyl)pyridin-1-ium-3,5-dicarboxylate","1,2-bis(4-pyridyl)ethene",,,,
hydroxo,oxalate,,,,
hydroxo,oxalate,,,,
,,,,,
terephthalate,"4,7-bis(pyridin-4-yl)-2,1,3-benzothiadiazol",,,,
terephthalate,"4,7-di(pyridin-4-yl)-2,1,3-benzothiadiazol",,,,
oxalate,"benzene-1,4-dicarboxylate",,,,
"4,4'-(ethene-1,2-diyl)dipyridine","4,4',4''-nitrilotribenzoate",,,,
chloro,2-ethylpyrazine,,,,
"Benzene-1,3,5-tris(isonicoate)",,,,,
4-(((pyridin-4-ylmethylene)hydrazono)methyl)pyridine,"thiophene-2,5-dicarboxylate",,,,
"naphthalene-2,6-dicarboxylate",4-(((pyridin-4-ylmethylene)hydrazono)methyl)pyridine,,,,
"4-((1'-(4-cyanobenzyl)-4,4'-bipiperidin-1-yl)methyl)benzonitril",nitrate,,,,
"4-((1'-(4-cyanobenzyl)-4,4'-bipiperidin-1-yl)methyl)benzonitril",nitrate,,,,
"4-((1'-(4-cyanobenzyl)-4,4'-bipiperidin-1-yl)methyl)benzonitril",perchlorate,,,,
nicoate,acetate,oxo,nicoate,oxo,
4-(2-(4-(2-(pyridin-4-yl)vinyl)phenyl)vinyl)pyridine,terephthalate,,,,
"2,5-dicarboxybenzene-1,4-dicarboxylate",oxalate,,,,
"2,5-dimethoxybenzene-1,4-dicarboxylate",,,,,
"2,5-dimethoxybenzene-1,4-dicarboxylate",,,,,
"4,4'-(1,2,4,5-tetrazine-3,6-diyl)dibenzoate",hydroxo,oxido,,,
2-(4-carboxylatebenzene-1-carbonyl)benzoate,"hydroxo)-tetrakis(2,2'-bipyridin",,,,
"4,4',4''-(benzene-1,3,5-triyl)tris(hydrogen",,,,,
"Benzene-1,3,5-tricarboxylate","hydroxo)-(2,2'-bipyridin",,,,
"Benzene-1,3,5-tricarboxylate","hydroxo)-(2,2'-bipyridin",,,,
"Pyridine-1,3,5-tricarboxylate)-bis(2,2'-bipyridin",,,,,
"4,4'-bipyridine","5-carboxy-2-(1H-pyrrol-1-yl)benzene-1,3-dicarboxylate",,,,
"4,4'-bipyridine","5-carboxy-2-(1H-pyrrol-1-yl)benzene-1,3-dicarboxylate",,,,
"[1,1'-biphenyl]-3,3',4,4'-tetracarboxylate","1,1',1''-[(2,4,6-trimethylbenzene-1,3,5-triyl)tris",,,,
"2,2'-(1,4-phenylene)bis(N-(pyridin-3-yl)acetamide)",,,,,
4-carboxyisophthalate,"2,4,6-tri(pyridin-4-yl)-1,3,5-triazin",,,,
"2,5-dihydroxybenzene-1,4-dicarboxylate","2,5-dioxybenzene-1,4-dicarboxylate","2,4,6-tri(pyridin-4-yl)-1,3,5-triazin",,,
hydroxo,"5-sulfonatebenzene-1,2,4-tricarboxylate","2,4,6-tri(pyridin-4-yl)-1,3,5-triazin",,,
"pyridine-2,4-dicarboxylate",,,,,
"4,4'-oxydibenzoate","4,4'-(propane-1,3-diyl)dipyridine",,,,
"1,3-Propanedioate","1,3-propanedioate",,,,
Malonate,malonate,,,,
"Hydrogen(1-hydroxy-2-(1H-imidazol-1-yl)ethane-1,1-diyl)diphosphonate","1,2-bis(4-pyridyl)ethene",,,,
"4,4'-(Pyridine-3,5-diyl)di-isophthalate",formate,,,,
"2,5-dimethyl[1,1:4,1-terphenyl]-4,4-dicarboxylate","4,4'-(2,5-dimethyl-1,4-phenylene)dipyridine",,,,
"2,5-dimethyl[1,1:4,1-terphenyl]-4,4-dicarboxylate","4,4'-(2,5-dimethyl-1,4-phenylene)dipyridine",,,,
Malonate,malonate,,,,
malonate,malonate,,,,
"N,N'-bis(3,5-Dicarboxylatephenyl)pyromelliticdi-imide)-bis(dimethylformamid",,,,,
"N,N'-bis(3,5-Dicarboxylatephenyl)pyromelliticdi-imide","N,N'-bis(3,5-dicarboxylatephenyl)pyromellitic",,,,
"2,5-dioxido-1,4-benzoquinone",,,,,
"4-[5,11,12,17,18-pentakis(4-(carboxylate)phenyl)pentacyclo[6.6.6.2,7.9,14.15,20]icosa-2,4,6,9,11,13,15,17,19-nonaen-4-yl]benzoate",,,,,
"4-(((3,5-bis(((4-Carboxylatephenyl)carbamoyl)amino)phenyl)carbamoyl)amino)benzoate",oxo,,,,
"u1-5,5',5''-(benzene-1,3,5-triyltris(carbamoylimino))triisophthalate",,,,,
"u1-5,5',5''-(benzene-1,3,5-triyltris(carbamoylimino))triisophthalate",,,,,
"4,4',4''-(Benzene-1,3,5-triyltris","4,4'-bipyridine",,,,
Terephthalate)-diaqua-tetrakis(dimethylformamid,,,,,
"4,4',4''-(Benzene-1,3,5-triyltris","4,4'-bipyridine",,,,
"4,4'-propane-1,3-diyldipyridine","pyridine-2,5-dicarboxylate",,,,
"4,4'-propane-1,3-diyldipyridine","pyridine-2,5-dicarboxylate",,,,
"4,4'-bipyridine",chloro,orthosilicate,oxo,,
"1,2,4-Triazolido-N,N',N''",,,,,
"1,2,4-Triazolido-N,N',N''",,,,,
"2,5-dioxidobenzene-1,4-dicarboxylate","2,5-dihydroxybenzene-1,4-dicarboxylate)-diaqua-bis(N,N-dimethylformamid",,,,
"4,4'-bipyridine",3-carboxylate-1-(4-carboxylatebenzyl)pyridinium,,,,
"Benzimidazolate-N,N'","4,4'-bipyridine-N,N'",,,,
"4,4'-Bipyridine-N,N'","imidazolate-N,N'",,,,
oxalate,,,,,
oxalate,oxalate,,,,
oxalate,hydroxo,,,,
ethanedioate,hydroxo,,,,
"N,N',N''-tris(3-Pyridylmethyl)-1,3,5-benzenetricarboxamid",azido,,,,
"5,5'-methanediyldibenzene-1,3-dicarboxylate",,,,,
"5-(3-Carboxy-5-carboxylatebenzyl)benzene-1,3-dicarboxylate",hydroxo)-triaqua-(dimethylformamide-,,,,
"5,5'-Methanediyldibenzene-1,3-dicarboxylate",hydroxo,,,,
"1,4-bis(4-(1H-imidazol-1-yl)benzyl)piperazine","2,2'-biquinoline-4,4'-dicarboxylate",,,,
"1,4-bis(4-(1H-imidazol-1-yl)benzyl)piperazine","2,2'-biquinoline-4,4'-dicarboxylate",,,,
,,,,,
"biphenyl-3,3',5,5'-tetracarboxylate",aqua,,,,
"5-hydroxyisophthalate-O,O':O'',O'''","4,4'-stilbenedicarboxylate-O,O':O'',O'''",,,,
"2,5-bis(1H-1,2,4-triazol-1-yl)terephthalate",,,,,
Terephthalate,fluoro,hydroxo,,,
5-(Pyridin-3-yl)tetrazolate,oxo,5-(pyridin-3-yl)tetrazolate,oxo,oxo)-dioxo-tri-(v,
Oxo,5-(pyridin-2-yl)tetrazolate,oxo,oxo)-tetra-oxo-tetra-(v,,
Oxo,5-(pyrazin-2-yl)tetrazolate,oxo,oxo)-trioxo-tetra-(v,,
"hydrogenbenzene-1,3,5-tricarboxylate","2,4,6-tris[2-(pyridin-4-yl)ethenyl]-1,3,5-triazine",,,,
"1,1',1'',1'''-[ethene-1,1,2,2-tetrayltetrakis(4,1-phenylene)]tetrakis(1H-imidazole)","4,4'-carbonyldibenzoate",,,,
"4,4'-(ethene-1,2-diyl)dipyridine","3,3'-(1,2-dioxide-1,2-diazene-1,2-diyl)bis(benzene-1,2-dicarboxylate)",,,,
,,,,,
"Benzene-1,4-dicarboxylate-O,O',O'',O'''","benzene-1,4-dicarboxylate-O,O',O'',O''')-diaqua-bis(dimethylformamide-",,,,
"Benzene-1,4-dicarboxylate-O,O',O'',O'''","benzene-1,4-dicarboxylate-O,O',O'',O''')-diaqua-bis(dimethylformamide-",,,,
"4,4'-Azodibenzoate-O,O',O'',O'''","4,4'-azodibenzoate-O,O',O'',O''')-tetrakis(dimethylsulfoxid",,,,
"4,4'-Azodibenzoate-O,O',O'',O'''","4,4'-azodibenzoate-O,O',O'',O''')-tetrakis(dimethylsulfoxid",,,,
"4,4'-Azodibenzoate-O,O',O'',O'''","4,4'-azodibenzoate-O,O',O'',O''')-tetrakis(dimethylsulfoxid",,,,
"4,4'-Azodibenzoate-O,O',O'',O'''","4,4'-azodibenzoate-O,O',O'',O''')-tetrakis(dimethylsulfoxid",,,,
"4,4'-Azodibenzoate-O,O,O',O'',O'',O'''","4,4'-azodibenzoate-O,O,O',O'',O'''","4,4'-azodibenzoate-O,O',O'',O'''",,,
"N,N',N''-(benzene-1,3,5-triyl-tricarbonyl)-tris(L-alaninate","4,4'-bipyridine",,,,
,,,,,
"N,N',N''-(benzene-1,3,5-triyl-tricarbonyl)-tris(D-alaninate","4,4'-bipyridine",,,,
,,,,,
"N,N',N''-(benzene-1,3,5-triyl-tricarbonyl)-tris(D-alaninate","4,4'-bipyridine",,,,
,,,,,
"benzene-1,2,4-tricarboxylate",,,,,
selenido,,,,,
pyrimidine-5-carboxylate,pyrimidine-5-carboxylate,,,,
pyrimidine-5-carboxylate,,,,,
pyrimidine-5-carboxylate,,,,,
pyrimidine-5-carboxylate,,,,,
"pyridine-2,5-dicarboxylate",,,,,
,,,,,
"4,4'-[(5-carboxylate-1,3-phenylene)bis(oxymethylene)]dibenzoate",hydroxido,,,,
"hydrogen4,4'-[(5-carboxylate-1,3-phenylene)bis(oxymethylene)]dibenzoate",,,,,
p-Aminobenzoate,,,,,
4-(5-carboxypyridin-2-yl)isophthalate,hydrogen,,,,
bis(2-Hydroxyethyl)(2-oxyethyl)amine,cyano,,,,
"3,5-Di-n-butyl-1,2,4-triazolate",,,,,
"Cyano-C,N",2-iodopyrazine,,,,
"4,4',4'',4'''-Cyclobutane-1,2,3,4-tetrayltetrapyridine",,,,,
"naphthalene-2,6-dicarboxylate","naphthalene-2,6-dicarboxylate","1,3,5,7-tetraazatricyclo[3.3.1.3,7]decane)-(N,N-dimethylformamid",,,
"naphthalene-2,6-dicarboxylate","naphthalene-2,6-dicarboxylate","1,3,5,7-tetraazatricyclo[3.3.1.3,7]decane)-(N,N-dimethylformamid",,,
"naphthalene-2,6-dicarboxylate","naphthalene-2,6-dicarboxylate","1,3,5,7-tetraazatricyclo[3.3.1.3,7]decane)-(N,N-dimethylformamid",,,
"naphthalene-2,6-dicarboxylate","naphthalene-2,6-dicarboxylate","1,3,5,7-tetraazatricyclo[3.3.1.3,7]decane)-(N,N-dimethylformamid",,,
dicyanamido,pyridin-3-amine,,,,
"benzene-1,2,4,5-tetracarboxylate","benzene-1,2,4,5-tetracarboxylate",,,,
"benzene-1,2,4,5-tetracarboxylate","benzene-1,2,4,5-tetracarboxylate",,,,
"benzene-1,2,4,5-tetracarboxylate","benzene-1,2,4,5-tetracarboxylate",,,,
"benzene-1,2,4,5-tetracarboxylate","benzene-1,2,4,5-tetracarboxylate",,,,
"benzene-1,2,4,5-tetracarboxylate","benzene-1,2,4,5-tetracarboxylate",,,,
terephthalate,,,,,
terephthalate,,,,,
terephthalate,terephthalate,,,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
5-methylisophthalate,5-methylisophthalate,,,,
formate,,,,,
formate,,,,,
"tetra(benzimidazole)resorcin[4]arene)-tetrakis(N,N-dimethylformamid",,,,,
,,,,,
"4,4'-Ethene-1,2-diyldibenzoate","4,4'-ethene-1,2-diyldibenzoate",,,,
"Pyrrolidine-1-carbodithioate-S,S,S',S'",bromo)-tetra-(,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",oxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxo,,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",deuteroxy,oxo,,,
"[1,1'-biphenyl]-3,3',5,5'-tetracarboxylate",hydroxy,oxo,,,
formate,,,,,
formate,,,,,
"4-(5-carboxylatepyridin-2-yl)benzene-1,3-dicarboxylic",,,,,
"4-Phosphonatebutane-1-sulfonate-O,O,O',O',O'',O''',O''''",,,,,
"4-Phosphonatebutane-1-sulfonate-O,O,O',O',O'',O''',O''''",,,,,
"1,4-Phenylenediacetate-O,O'","1,4-bis(2-(4-pyridyl)ethenyl)benzene-N,N'",,,,
"Pyridine-2,3,5,6-tetracarboxylate)-tetra-aqua-(",,,,,
"[2,2'-bipyridine]-5,5'-dicarboxylate",,,,,
"[2,2'-bipyridine]-5,5'-dicarboxylate",,,,,
"Glutarate-O,O,O',O',O'',O'',O'''",,,,,
"cyclopentane-1,2,3,4-tetracarboxylate","4,4'-diazene-1,2-diyldipyridine",,,,
"cyclopentane-1,2,3,4-tetracarboxylate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,
"9-(pyridin-4-yl)-9H-carbazole-3,6-dicarboxylat",,,,,
"1,1':4',1''-Terphenyl-2,2',2'',4,4'',5'-hexacarboxylate","1,4-bis(1H-imidazol-1-yl)butane",,,,
"1,1',1''-benzene-1,3,5-triyltris(1H-imidazole)","2,2''-dicarboxy-1,1':4',1''-terphenyl-2',4,4'',5'-tetracarboxylate",,,,
"4,4''-Dicarboxy-1,1':4',1''-terphenyl-2,2',2'',5'-tetracarboxylate","4,4'-bis(1H-imidazol-1-yl)biphenyl","2,2'',4,4''-tetracarboxy-1,1':4',1''-terphenyl-2',5'-dicarboxylate",,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
formate,,,,,
"3,3',3'',3'''-[1,4,8,11-tetraazacyclotetradecane-1,4,8,11-tetrayltetrakis",,,,,
sulfido,"4,4'-biphenyl-4,4'-diyldipyridine",sulfido,"4,4'-biphenyl-4,4'-diyldipyridine",sulfido,
"pyridine-2,3,5,6-tetracarboxylate","4-(2-(pyridin-4-yl)vinyl)benzoate-N,O,O'","4-(2-(pyridin-4-yl)vinyl)benzoate-N,O",,,
"pyridine-2,3,5,6-tetracarboxylate","4-(2-(pyridin-4-yl)vinyl)benzoate-N,O,O'","4-(2-(pyridin-4-yl)vinyl)benzoate-N,O",,,
"2-[(pyridine-4-carbonyl)amino]benzene-1,4-dicarboxylate",,,,,
"pyridine-2,3-dicarboxylate","pyridine-2,3-dicarboxylate",,,,
"pyridine-2,3-dicarboxylate",thiocyanate,thiocyanate)-triaqua-(i,,,
D-camphorate,"1,4-bis(pyridin-4-yl)piperazine",,,,
"2-(4,2':6',4''-terpyridin-4'-yl)benzoate",adipate,,,,
3-(carboxylatemethoxy)phthalate,"4,4'-bipyridine",,,,
oxalate,"4-oxo-4H-pyran-2,6-dicarboxylate)-bis(2,2'-bipyridin",,,,
"[1,1'-biphenyl]-3,4',5-tricarboxylate",,,,,
"4-(3-(4H-1,2,4-triazol-4-yl)phenyl)-4H-1,2,4-triazol",hydrogen,,,,
"4-(3-(4H-1,2,4-triazol-4-yl)phenyl)-4H-1,2,4-triazol","benzene-1,2,4,5-tetracarboxylate",cyano,,,
tetrafluoroterephthalate,hydroxo,,,,
tetrafluoroterephthalate,hydroxo,,,,
"pyrimidine-2,4,6(1H,3H,5H)-trion",bromo,,,,
"pyrimidine-2,4,6(1H,3H,5H)-trion",bromo,,,,
adeninate,"cyclohexane-1,4-dicarboxylate",,,,
adeninate,"cyclohexane-1,4-dicarboxylate",,,,
terephthalate)-diaqua-(i,,,,,
"4,4'-(1,2-Dimethoxyethane-1,2-diyl)dibenzoate-O,O,O',O'',O'''","4,4'-(1,2-dimethoxyethane-1,2-diyl)dibenzoate-O,O',O'',O''')-bis(N,N-diethylformamid",,,,
